N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1055.0,세원정공,7480.0,상승  80,+1.08%,500.0,1625.0,7256.0,192.0
1056.0,PLUS 200TR,38325.0,상승  680,+1.81%,0.0,,,
1057.0,신한 레버리지 S&P500 선물 ETN,37350.0,상승  800,+2.19%,0.0,,,
1058.0,조광페인트,5820.0,하락  70,-1.19%,500.0,2528.0,3828.0,37.0
1059.0,와이투솔루션,2035.0,상승  10,+0.49%,2500.0,1369.0,1241.0,19.0
1060.0,엔케이,923.0,상승  16,+1.76%,500.0,915.0,2477.0,-11.0
1061.0,TP,1441.0,하락  19,-1.30%,500.0,9202.0,6865.0,406.0
1062.0,진양화학,3475.0,하락  240,-6.46%,500.0,283.0,499.0,-21.0
1063.0,남양유업우,36800.0,하락  200,-0.54%,500.0,,,
1064.0,영보화학,3675.0,하락  50,-1.34%,500.0,903.0,1790.0,70.0
1065.0,기신정기,2515.0,하락  10,-0.40%,500.0,1379.0,2635.0,25.0
1066.0,RISE 국채선물10년인버스,54315.0,상승  325,+0.60%,0.0,,,
1067.0,WON 25-09 회사채(AA-이상)액티브,53960.0,상승  35,+0.06%,0.0,,,
1068.0,인디에프,971.0,상승  11,+1.15%,500.0,1265.0,1156.0,-27.0
1069.0,KODEX 삼성전자채권혼합,10570.0,상승  75,+0.71%,0.0,,,
1070.0,인터지스,2450.0,하락  40,-1.61%,500.0,6116.0,4285.0,230.0
1071.0,RISE 코스닥150선물레버리지,8240.0,상승  90,+1.10%,0.0,,,
1072.0,TIGER 미국배당다우존스타겟커버드콜1호,12025.0,상승  65,+0.54%,0.0,,,
1073.0,신한 인버스 2X 코스닥 150 선물 ETN,7085.0,하락  90,-1.25%,0.0,,,
1074.0,TIGER 200선물인버스2X,2565.0,하락  75,-2.84%,0.0,,,
1075.0,쌍방울,13450.0,보합0,0.00%,500.0,947.0,1438.0,4.0
1076.0,TIGER 조선TOP10,12495.0,상승  20,+0.16%,0.0,,,
1077.0,KB 레버리지 S&P 500 선물 ETN(H),17600.0,상승  305,+1.76%,0.0,,,
1078.0,보해양조,506.0,상승  10,+2.02%,500.0,931.0,1433.0,-28.0
1079.0,진양폴리,7000.0,하락  300,-4.11%,500.0,545.0,517.0,40.0
1080.0,범양건영,2545.0,하락  30,-1.17%,1000.0,1208.0,1929.0,-104.0
1081.0,지엠비코리아,3655.0,하락  10,-0.27%,500.0,6909.0,5791.0,206.0
1082.0,HANARO 200TR,42215.0,상승  580,+1.39%,0.0,,,
1083.0,한투 레버리지 천연가스 선물 ETN B,6965.0,하락  300,-4.13%,0.0,,,
1084.0,TIGER AI반도체핵심공정,9340.0,상승  280,+3.09%,0.0,,,
1085.0,RISE 중국본토대형주CSI100,18280.0,하락  40,-0.22%,0.0,,,
1086.0,TIGER 미국S&P500레버리지(합성 H),46235.0,상승  805,+1.77%,0.0,,,
1087.0,신한 레버리지 금 선물 ETN,34675.0,하락  355,-1.01%,0.0,,,
1088.0,KODEX 반도체레버리지,9050.0,상승  690,+8.25%,0.0,,,
1089.0,ACE 글로벌자율주행액티브,12145.0,상승  470,+4.03%,0.0,,,
1090.0,TIGER 2차전지TOP10레버리지,1441.0,상승  23,+1.62%,0.0,,,
1091.0,광명전기,1584.0,하락  8,-0.50%,500.0,1612.0,1871.0,-23.0
1092.0,RISE 중국본토CSI300,10550.0,하락  45,-0.42%,0.0,,,
1093.0,TIGER 인도니프티50레버리지(합성),45275.0,하락  85,-0.19%,0.0,,,
1094.0,세원이앤씨,1270.0,보합0,0.00%,500.0,1306.0,3436.0,-61.0
1095.0,두산퓨얼셀1우,5010.0,상승  40,+0.80%,100.0,,,
1096.0,보락,1117.0,하락  2,-0.18%,200.0,468.0,579.0,5.0
1097.0,대구백화점,6180.0,상승  550,+9.77%,5000.0,676.0,4674.0,-151.0
1098.0,고려산업,2680.0,상승  20,+0.75%,1000.0,3191.0,2779.0,80.0
1099.0,SK우,118000.0,"상승  3,200",+2.79%,200.0,,,
1100.0,SOL 미국S&P500ESG,17120.0,상승  205,+1.21%,0.0,,,
1101.0,키움 미국달러선물 ETN,13335.0,보합0,0.00%,0.0,,,
1102.0,KODEX 미국달러선물,14440.0,상승  35,+0.24%,0.0,,,
1103.0,SOL CD금리&머니마켓액티브,50060.0,상승  10,+0.02%,0.0,,,
1104.0,부국증권우,22100.0,상승  100,+0.45%,5000.0,,,
1105.0,삼화왕관,30750.0,하락  450,-1.44%,5000.0,1579.0,2012.0,69.0
1106.0,영풍제지,1182.0,상승  15,+1.29%,500.0,826.0,1999.0,-30.0
1107.0,TIGER 200TR,18865.0,상승  285,+1.53%,0.0,,,
1108.0,KODEX WTI원유선물(H),15440.0,상승  210,+1.38%,0.0,,,
1109.0,GS우,36950.0,하락  100,-0.27%,5000.0,,,
1110.0,SG세계물산,324.0,하락  1,-0.31%,500.0,1431.0,3035.0,18.0
1111.0,TIGER 경기방어,9760.0,상승  5,+0.05%,0.0,,,
1112.0,한국종합기술,5970.0,하락  160,-2.61%,500.0,3769.0,3812.0,40.0
